"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 26, 2021","100.53","100.53","100.54","100.51","95.78K","0.00%"
"Feb 25, 2021","100.53","100.53","100.54","100.53","139.63K","0.00%"
"Feb 24, 2021","100.53","100.54","100.54","100.53","46.98K","-0.00%"
"Feb 23, 2021","100.54","100.54","100.54","100.53","28.70K","0.00%"
"Feb 22, 2021","100.54","100.54","100.54","100.54","29.54K","0.00%"
"Feb 19, 2021","100.54","100.54","100.54","100.54","20.93K","0.00%"
"Feb 18, 2021","100.54","100.54","100.54","100.54","19.38K","0.00%"
"Feb 17, 2021","100.54","100.54","100.54","100.54","52.43K","0.00%"
"Feb 16, 2021","100.54","100.54","100.54","100.54","54.16K","-0.01%"
"Feb 15, 2021","100.55","100.54","100.55","100.54","1.85K","0.00%"
"Feb 12, 2021","100.54","100.54","100.55","100.54","14.75K","0.00%"
"Feb 11, 2021","100.54","100.54","100.54","100.54","8.80K","0.00%"
"Feb 10, 2021","100.54","100.54","100.54","100.54","5.86K","0.00%"
"Feb 09, 2021","100.54","100.53","100.54","100.53","7.37K","0.00%"
"Feb 08, 2021","100.54","100.54","100.54","100.53","5.22K","0.00%"
"Feb 05, 2021","100.54","100.54","100.54","100.53","19.28K","0.00%"
"Feb 04, 2021","100.54","100.54","100.54","100.54","8.11K","0.00%"
"Feb 03, 2021","100.54","100.54","100.55","100.54","8.70K","0.00%"
"Feb 02, 2021","100.54","100.54","100.55","100.54","4.68K","-0.00%"
"Feb 01, 2021","100.55","100.55","100.55","100.54","3.59K","0.00%"
"Jan 29, 2021","100.54","100.55","100.55","100.54","6.96K","-0.00%"
"Jan 28, 2021","100.55","100.55","100.56","100.54","15.27K","0.00%"
"Jan 27, 2021","100.55","100.54","100.56","100.54","37.26K","0.01%"
"Jan 26, 2021","100.54","100.54","100.54","100.54","2.94K","0.00%"
"Jan 25, 2021","100.54","100.54","100.54","100.54","8.78K","0.01%"
"Jan 22, 2021","100.54","100.54","100.54","100.54","10.68K","-0.01%"
